"非直轄市109-112年6月事故排行",,,,,,
"排行",縣市,"鄉鎮市區",路口,件數,"死亡人數","受傷人數"
54,基隆市,信義區,信一路、義三路,4,1,4
55,基隆市,信義區,深溪路、深美街,5,0,5
56,苗栗縣,竹南鎮,中正路、大營路,5,0,5
57,基隆市,中正區,義一路、信五路,5,0,5
58,基隆市,中正區,中正路、正濱路,5,0,5
59,基隆市,七堵區,明德二路、工東街,5,0,5
60,苗栗縣,頭份市,中正路、民族路,5,0,5
61,苗栗縣,頭份市,自強路、仁愛路,5,0,5
62,彰化縣,鹿港鎮,中山路、民權路,5,0,5
63,彰化縣,彰化市,中山路二段、南校街,3,1,5
64,新竹縣,新埔鎮,中正路、和平街,4,0,6
65,新竹市,東區,西大路、南大路,4,0,6
66,基隆市,中正區,信六路、義一路,4,0,6
67,新竹市,東區,三民路、民權路,4,0,6
68,宜蘭縣,羅東鎮,公正路、忠孝路,4,0,6
69,雲林縣,斗六市,成功路、榮譽路,3,2,2
70,屏東縣,屏東市,自由路、博愛路,4,1,3
71,新竹縣,竹東鎮,大同路、信義路,3,0,7
72,基隆市,仁愛區,忠三路、孝二路,3,1,4
73,基隆市,仁愛區,成功一路、光一路,4,0,5
74,基隆市,安樂區,基金一路、武嶺街,4,0,5
75,基隆市,安樂區,基金一路135巷、基金一路,4,0,5
76,新竹市,北區,中正路、中山路,4,0,5
77,雲林縣,虎尾鎮,林森路一段、德興路,4,0,5
78,基隆市,中正區,新豐街251巷、新豐街,4,0,5
79,基隆市,仁愛區,仁二路、愛五路,4,0,5
80,基隆市,中正區,中正路、中船路,4,0,5
81,屏東縣,屏東市,民生東路、瑞光路一段,4,0,5
82,宜蘭縣,羅東鎮,興東南路、南門路,4,0,5
83,宜蘭縣,宜蘭市,中山路五段、大福路二段,4,0,5
84,彰化縣,彰化市,彰南路三段、一心南街,4,0,5
85,新竹市,東區,東門街、民族路,3,0,6
86,屏東縣,屏東市,公園路、中華路,3,0,6
87,新竹市,北區,中山路、崧嶺路,3,0,6
88,基隆市,安樂區,基金一路、武崙街,3,0,6
89,基隆市,安樂區,麥金路、安樂路二段,3,0,6
90,新竹縣,竹北市,中正東路、三民路,3,1,3
91,新竹市,香山區,中華路、大庄路,4,0,4
92,新竹市,東區,園區二路、力行三路,4,0,4
93,彰化縣,彰化市,中正路一段、民生路,4,0,4
94,彰化縣,鹿港鎮,中山路、三民路,4,0,4
95,彰化縣,員林市,莒光路、靜修路,4,0,4
96,基隆市,安樂區,安樂路一段、樂一路81巷,4,0,4
97,基隆市,信義區,信二路、義六路,4,0,4
98,基隆市,信義區,信二路、壽山路,4,0,4
99,基隆市,信義區,信一路、義九路,4,0,4
100,基隆市,仁愛區,成功一路、安樂路一段,4,0,4
101,基隆市,暖暖區,源遠路、碇內街,4,0,4
102,新竹市,北區,西門街、四維路,4,0,4
103,新竹市,北區,經國路二段、城北街,4,0,4
104,雲林縣,北港鎮,中山路、光明路,4,0,4
105,基隆市,中正區,中船路、義二路,4,0,4
106,基隆市,中山區,中華路、復旦路,4,0,4
107,基隆市,仁愛區,仁二路137巷、仁二路,4,0,4
108,基隆市,仁愛區,仁五路、愛一路,4,0,4
109,基隆市,仁愛區,仁四路、愛一路,4,0,4
110,基隆市,中正區,義二路、信五路,4,0,4
111,基隆市,中正區,信二路、義二路,4,0,4
112,苗栗縣,頭份市,信東路、忠孝一路,4,0,4
113,苗栗縣,頭份市,中華路、民族路,4,0,4
114,苗栗縣,頭份市,中華路、和平路,4,0,4
115,基隆市,七堵區,明德一路、自治北街,4,0,4
116,花蓮縣,壽豐鄉,中山路二段、中正路,4,0,4
117,花蓮縣,花蓮市,中正路、明禮路,4,0,4
118,花蓮縣,花蓮市,中央路三段、莊敬路,4,0,4
119,宜蘭縣,羅東鎮,中山路二段、光榮路,3,0,5
120,南投縣,竹山鎮,雲林路、下橫街,3,0,5
121,屏東縣,屏東市,公園路、仁德路,3,0,5
122,苗栗縣,頭份市,銀河路、民族路,3,0,5
123,新竹市,北區,中山路、北門街,3,0,5
124,新竹市,北區,中山路、育英路,3,0,5
125,新竹市,北區,中正路、經國路,3,0,5
126,基隆市,信義區,深澳坑路、深溪路,3,0,5
127,雲林縣,斗六市,民生路、大同路,3,0,5
128,基隆市,仁愛區,忠一路、港西街,3,0,5
129,基隆市,安樂區,麥金路、樂利三街,3,0,5
130,新竹市,東區,西大路、文昌街,3,0,5
131,新竹縣,竹北市,莊敬三路、勝利二路,3,0,5
132,新竹縣,新豐鄉,新興路、忠信街,3,0,5
133,彰化縣,員林市,大同路二段、大勇街,3,0,5
134,彰化縣,彰化市,曉陽路、南瑤路,3,1,2
135,宜蘭縣,蘇澳鎮,江夏路、南安路,3,1,2
136,彰化縣,和美鎮,彰新路五段、嘉卿路二段,1,1,5
137,屏東縣,高樹鄉,南興路、慈新路,2,0,6
138,基隆市,中山區,西定路、復興路,2,1,3
139,基隆市,中山區,復興路、德安路,3,0,4
140,基隆市,中正區,祥豐街、正榮街,3,0,4
141,基隆市,七堵區,明德一路、自治街,3,0,4
142,基隆市,安樂區,麥金路、樂利二街,3,0,4
143,基隆市,信義區,東信路、東光路,3,0,4
144,基隆市,信義區,東信路、東明路,3,0,4
145,基隆市,信義區,深美街、教忠街,3,0,4
146,基隆市,信義區,信二路、義四路,3,0,4
147,基隆市,信義區,信二路、義五路,3,0,4
148,基隆市,仁愛區,愛三路、仁四路,3,0,4
149,雲林縣,斗六市,中山路、大同路,3,0,4
150,雲林縣,斗六市,中山路、城頂街,3,0,4
151,新竹市,北區,東大路三段、富美路,3,0,4
152,花蓮縣,花蓮市,中正路、中原路,3,0,4
153,花蓮縣,花蓮市,中美路、化道路,3,0,4
154,宜蘭縣,羅東鎮,中山路、光榮路,3,0,4
155,屏東縣,屏東市,永大路、武愛街,3,0,4
156,屏東縣,屏東市,復興路、民族路,3,0,4
157,南投縣,南投市,南崗二路、文化路,3,0,4
158,南投縣,埔里鎮,中山路二段、北環路,3,0,4
159,南投縣,草屯鎮,大成街、育英街,3,0,4
160,彰化縣,社頭鄉,中山路二段、中興路,3,0,4
161,彰化縣,秀水鄉,彰水路一段、文化街,3,0,4
162,新竹縣,新豐鄉,新興路、松林街,3,0,4
163,新竹縣,新豐鄉,新興路、建興路,3,0,4
164,新竹縣,新豐鄉,新興路、泰安街,3,0,4
165,新竹縣,湖口鄉,達生路、民生街,3,0,4
166,新竹市,東區,光復路一段、科學園路,3,0,4
167,新竹市,東區,中央路、文化街,3,0,4
168,新竹市,東區,關新路、關新北路,3,0,4
169,新竹市,東區,新安路、研發六路,3,0,4
170,新竹縣,竹北市,中正西路、國興街,3,0,4
171,彰化縣,彰化市,南校街、博愛街,3,0,4
172,彰化縣,員林市,員水路二段、大同路一段,3,0,4
173,彰化縣,彰化市,中山路二段、中民街,3,0,4
174,彰化縣,彰化市,旭光路、光華街,3,0,4
175,彰化縣,彰化市,自強路、泰安二街,3,0,4
176,彰化縣,彰化市,民生路、長壽街,3,0,4
177,彰化縣,彰化市,民生路、中華路,2,0,5
178,澎湖縣,馬公市,水源路、北辰街,2,0,5
179,新竹市,香山區,牛埔東路、東華路,2,0,5
180,新竹市,東區,光復路二段、大學路,2,0,5
181,屏東縣,屏東市,公園路、民權路,2,0,5
182,屏東縣,屏東市,和生路一段、歸仁路91巷,1,2,1
183,屏東縣,屏東市,仁愛路、民生路,2,1,2
184,屏東縣,車城鄉,中山路、田中路,2,1,2
185,花蓮縣,花蓮市,福建街、長安街,2,1,2
186,宜蘭縣,宜蘭市,舊城南路、民權路二段38巷,2,1,2
187,新竹市,北區,經國路二段、中和路,2,1,2
188,新竹市,北區,中正路、境福街,2,1,2
189,新竹縣,湖口鄉,中華路、自強路,2,1,2
190,彰化縣,溪州鄉,中山路四段、文化路,2,1,2
191,彰化縣,彰化市,中興路、大埔路,3,0,3
192,彰化縣,彰化市,金馬路二段、茄苳路一段,3,0,3
193,彰化縣,溪湖鎮,彰水路四段、培英路,3,0,3
194,臺東縣,卑南鄉,太平路、和平路,3,0,3
195,臺東縣,臺東市,中華路一段、新生路,3,0,3
196,新竹縣,新埔鎮,中正路、廣和路,3,0,3
197,新竹縣,新豐鄉,松林街、尚仁街,3,0,3
198,新竹縣,竹東鎮,中興路三段、學府路,3,0,3
199,新竹縣,竹東鎮,中豐路二段、幸福路,3,0,3
200,新竹縣,竹北市,福興路、博愛街,3,0,3
201,新竹市,東區,光復路二段、建功路,3,0,3
202,新竹市,東區,慈雲路、埔頂二路,3,0,3
203,新竹市,東區,埔頂二路、立鵬路,3,0,3
204,新竹市,東區,建功一路、水源街,3,0,3
205,新竹市,香山區,中華路五段、元培街,3,0,3
206,新竹縣,竹北市,中正西路、華興街,3,0,3
207,新竹縣,竹北市,光明六路東二段、嘉興路,3,0,3
208,新竹縣,關西鎮,中山路、正義路,3,0,3
209,新竹縣,關西鎮,正義路、大同路,3,0,3
210,嘉義市,西區,垂楊路、新榮路,3,0,3
211,彰化縣,大村鄉,中山路一段、中興街,3,0,3
212,彰化縣,大村鄉,中山路二段、中正東路,3,0,3
213,彰化縣,伸港鄉,中山路、新港路,3,0,3
214,彰化縣,和美鎮,道周路、平安路,3,0,3
215,彰化縣,北斗鎮,中山路二段、文苑路一段,3,0,3
216,彰化縣,北斗鎮,中華路、光復路,3,0,3
217,彰化縣,田中鎮,中正路、斗中路一段,3,0,3
218,彰化縣,社頭鄉,員集路二段、清水岩路,3,0,3
219,新竹市,北區,北大路、北新街,3,0,3
220,新竹市,北區,經國路、延平路,3,0,3
221,雲林縣,斗南鎮,中山路、文元街,3,0,3
222,雲林縣,斗南鎮,建國二路、中興路,3,0,3
223,基隆市,信義區,深溪路36巷、深溪路,3,0,3
224,基隆市,仁愛區,愛一路、仁四路,3,0,3
225,基隆市,仁愛區,忠四路、孝一路,3,0,3
226,基隆市,仁愛區,忠四路、孝二路,3,0,3
227,基隆市,仁愛區,孝二路、忠四路,3,0,3
228,基隆市,七堵區,百三街、福三街,3,0,3
229,苗栗縣,頭份市,中華路、自強路,3,0,3
230,苗栗縣,頭份市,自強路、和平路,3,0,3
231,苗栗縣,頭份市,自強路、信東路,3,0,3
232,基隆市,中正區,義二路、信二路,3,0,3
233,基隆市,中正區,新豐街333巷、新豐街,3,0,3
234,基隆市,仁愛區,仁五路、愛二路,3,0,3
235,基隆市,仁愛區,仁三路、愛三路,3,0,3
236,基隆市,仁愛區,仁二路、劉銘傳路,3,0,3
237,基隆市,仁愛區,仁一路、愛七路,3,0,3
238,基隆市,中山區,中山一路、港西街,3,0,3
239,苗栗縣,苗栗市,建中街、建中街82巷,3,0,3
240,苗栗縣,苗栗市,為公路、中山路,3,0,3
241,苗栗縣,苗栗市,中正路、日新街,3,0,3
242,苗栗縣,苗栗市,民族路、忠孝路,3,0,3
243,宜蘭縣,礁溪鄉,中山路一段、育才路,3,0,3
244,宜蘭縣,宜蘭市,中山路二段、民權路一段,3,0,3
245,宜蘭縣,宜蘭市,女中路二段、中華路,3,0,3
246,花蓮縣,花蓮市,中山路、富安路,3,0,3
247,花蓮縣,花蓮市,中山路、富國路,3,0,3
248,花蓮縣,花蓮市,中山路、林森路,3,0,3
249,宜蘭縣,羅東鎮,南昌街、清潭路,3,0,3
250,宜蘭縣,羅東鎮,南昌街、博愛路,3,0,3
251,花蓮縣,新城鄉,復興路、民族路,3,0,3
252,南投縣,南投市,彰南路一段、嘉和一路,3,0,3
253,南投縣,南投市,民族路、復興路,3,0,3
254,南投縣,南投市,復興路、祖祠路,3,0,3
255,屏東縣,屏東市,公園路、仁愛路,3,0,3
256,屏東縣,屏東市,民生路、廣東路,3,0,3
257,屏東縣,屏東市,民生路、歸仁路,3,0,3
258,屏東縣,屏東市,廣東路、民學路,3,0,3
259,屏東縣,屏東市,廣東路、博愛路,3,0,3
260,花蓮縣,花蓮市,南濱路、和平路,1,0,6
261,宜蘭縣,宜蘭市,女中路二段、擺厘路,2,0,4
262,宜蘭縣,五結鄉,五結中路三段、三興西路,2,0,4
263,宜蘭縣,礁溪鄉,礁溪路五段、溫泉路,2,0,4
264,屏東縣,屏東市,廣東路、建豐路,2,0,4
265,屏東縣,屏東市,勝利東路、大連路,2,0,4
266,屏東縣,屏東市,自由路、信義路,2,0,4
267,屏東縣,屏東市,和平路、光復路,2,0,4
268,屏東縣,屏東市,民生東路、安心四橫巷,2,0,4
269,屏東縣,屏東市,中山路、永福路,2,0,4
270,南投縣,埔里鎮,北平街、東榮路,2,0,4
271,苗栗縣,竹南鎮,龍山路三段、秀明街,2,0,4
272,苗栗縣,公館鄉,大同路、榮光街,2,0,4
273,苗栗縣,竹南鎮,光復路、華東街,2,0,4
274,基隆市,中正區,中正路、祥豐街,2,0,4
275,基隆市,中正區,義二路、信四路,2,0,4
276,基隆市,中正區,中正路656巷、中正路,2,0,4
277,苗栗縣,苗栗市,中正路、中正路1297巷,2,0,4
278,基隆市,七堵區,明德一路、崇禮街,2,0,4
279,基隆市,仁愛區,忠二路、孝二路,2,0,4
280,基隆市,仁愛區,南榮路319巷、南榮路,2,0,4
281,基隆市,仁愛區,愛三路、仁二路,2,0,4
282,基隆市,仁愛區,愛一路、仁二路,2,0,4
283,基隆市,安樂區,安一路100巷、安一路,2,0,4
284,基隆市,安樂區,安和一街4巷、安和一街,2,0,4
285,基隆市,安樂區,基金一路175巷、基金一路,2,0,4
286,新竹市,東區,中央路、錦華街,2,0,4
287,彰化縣,員林市,中山路二段、法院街,2,0,4
288,彰化縣,北斗鎮,興農路二段、民權路,2,0,4
289,彰化縣,和美鎮,仁化路、愛民路,2,0,4
290,新竹縣,竹北市,中正東路、仁德街,2,0,4
291,新竹縣,竹北市,三民路、文田街,2,0,4
292,新竹市,東區,寶山路、建華街,2,0,4
293,新竹市,東區,經國路一段、自由路,2,0,4
294,新竹市,東區,金山街、金山十二街,2,0,4
295,新竹市,東區,中華路二段、信義街,2,0,4
296,新竹市,東區,介壽路、園區一路,2,0,4
297,新竹縣,竹北市,莊敬北路、十興路,2,0,4
298,新竹縣,竹北市,嘉豐十一路一段、復興三路二段,2,0,4
299,新竹縣,湖口鄉,八德路三段、長安路,2,0,4
300,新竹縣,湖口鄉,三民南路、榮光路,2,0,4
