縣市,鄉鎮市區,路口,件數,死亡人數,受傷人數,補助
臺北市,文山區,景文街、羅斯福路六段401巷,5,0,7,有
臺中市,大雅區,雅潭路四段、建興路,5,0,7,有
新北市,新店區,中興路、寶橋路,5,0,7,無
臺北市,中正區,仁愛路二段、金山南路一段,5,0,7,有
臺北市,中正區,公園路、貴陽街一段,5,0,7,有
新北市,金山區,中山路、中正路,5,0,7,有
臺北市,士林區,重慶北路四段、葫東街,5,0,7,有
臺中市,北屯區,崇德路三段、豐樂路,5,0,7,有
桃園市,中壢區,中山東路二段、日新路,5,0,7,有
高雄市,鳳山區,中山路、成功路,5,0,7,有
臺北市,信義區,忠孝東路五段、松信路,5,0,7,有
臺北市,信義區,信義路五段、松智路,5,0,7,有
新北市,三重區,自強路一段、文化北路,5,0,7,有
臺北市,中山區,市民大道二段、林森北路,5,0,7,有
新北市,淡水區,民權路、民富街,5,0,7,無
臺北市,中山區,南京東路一段、林森北路,5,0,7,有
桃園市,平鎮區,中豐路山頂段、南豐路,5,0,7,有
桃園市,桃園區,大同路、南華街,5,0,7,有
新北市,中和區,中和路、宜安路,5,0,7,有
新北市,新莊區,中正路、新泰路,5,0,7,無
新北市,中和區,景新街383巷、景新街,5,0,7,無
新北市,永和區,永和路二段、中興街,4,1,6,有
臺北市,信義區,信義路四段、光復南路,5,1,4,有
桃園市,中壢區,中華路一段、復華街,5,1,4,無
桃園市,桃園區,建新街、保羅街,4,2,3,有
臺北市,文山區,指南路二段、萬壽路,4,0,8,有
桃園市,平鎮區,中豐路山頂段、日星街,4,0,8,有
臺中市,西區,三民路一段、民生路,5,0,6,有
新北市,淡水區,中正東路一段3巷、中正東路一段,5,0,6,無
桃園市,桃園區,大興西路二段、大興西路二段80巷,5,0,6,有
新北市,中和區,景新街467巷、景新街,5,0,6,有
新北市,新莊區,中正路、富國路,5,0,6,無
新北市,新莊區,中平路、榮華路,5,0,6,無
高雄市,鳳山區,建國路三段、文濱路,5,0,6,無
新北市,中和區,中正路、立言街,5,0,6,無
新北市,中和區,中興街、板南路,5,0,6,無
桃園市,八德區,介壽路一段、大智路,5,0,6,無
新北市,中和區,中山路二段、光華街,5,0,6,有
臺北市,文山區,興隆路二段、興隆路二段244巷,5,0,6,有
新北市,土城區,明德路一段、延吉街,5,0,6,有
新北市,林口區,中山路、林口路,5,0,6,無
臺中市,大雅區,雅潭路四段、神林南路,5,0,6,有
新北市,新店區,中正路、三民路,5,0,6,有
桃園市,桃園區,春日路、大興路,5,0,6,無
桃園市,桃園區,桃鶯路、建國路,5,0,6,有
臺北市,大安區,忠孝東路四段、敦化南路一段,5,0,6,有
桃園市,中壢區,延平路、元化路,5,0,6,有
新北市,中和區,連城路、新生街,5,0,6,無
新北市,三重區,三和路三段、龍門路,5,0,6,有
臺北市,信義區,信義路五段、莊敬路,5,0,6,有
臺中市,南屯區,文心路一段、大業路,5,0,6,有
桃園市,桃園區,介壽路、保羅街,5,0,6,有
桃園市,桃園區,中平路、中州街,4,0,7,有
桃園市,中壢區,中山路、和平街,4,0,7,有
新北市,淡水區,大忠街113巷、北新路,4,0,7,無
新北市,三重區,三和路二段、長生街,4,0,7,無
新北市,中和區,宜安路168巷、宜安路,4,0,7,無
臺中市,大甲區,中山路一段、民生路,4,0,7,有
臺北市,大安區,建國南路一段、濟南路三段,4,0,7,有
新北市,板橋區,縣民大道一段、府中路,4,0,7,無
臺北市,信義區,吳興街、吳興街220巷,4,0,7,有
臺北市,萬華區,中華路一段、漢口街二段,4,0,7,有
臺北市,文山區,景文街、景文街103巷,4,0,7,有
臺中市,沙鹿區,臺灣大道七段、中山路,4,0,7,無
高雄市,左營區,博愛二路、裕誠路,4,0,7,無
臺北市,中山區,建國北路一段、長安東路二段,4,0,7,有
臺中市,北區,三民路三段、精武路,4,0,7,有
桃園市,中壢區,中正路、民權路,5,0,5,有
桃園市,中壢區,環中東路、榮安一街,5,0,5,有
桃園市,平鎮區,民族路二段、文化街,5,0,5,有
臺南市,永康區,中正北路、中正七街,5,0,5,無
桃園市,龜山區,萬壽路二段、自強西路,5,0,5,無
臺北市,萬華區,中華路二段、西藏路,5,0,5,有
新北市,新店區,祥和路、安興路,5,0,5,無
臺中市,沙鹿區,中山路、成功東街,5,0,5,有
臺中市,沙鹿區,中山路、沙田路,5,0,5,有
臺中市,沙鹿區,中山路、大新街,5,0,5,有
臺北市,中山區,北安路、大直街,5,0,5,有
臺北市,中正區,羅斯福路一段、寧波西街,5,0,5,有
臺北市,中正區,襄陽路、懷寧街,5,0,5,有
臺北市,松山區,南京東路四段、北寧路,5,0,5,有
桃園市,龍潭區,中正路、五福街,5,0,5,有
新北市,新莊區,中平路、幸福路,5,0,5,有
新北市,新莊區,中央路、中信街,5,0,5,有
臺南市,中西區,中正路、永福路,5,0,5,無
新北市,林口區,中山路、竹林路,5,0,5,無
臺北市,內湖區,基湖路、基湖路35巷,5,0,5,有
新北市,板橋區,中正路、國光路,5,0,5,有
新北市,板橋區,文化路一段、新府路,5,0,5,無
臺中市,北區,學士路、五義街,5,0,5,無
桃園市,中壢區,晉元路、華勛街,5,0,5,有
新北市,永和區,文化路、信義路,5,0,5,無
新北市,新莊區,幸福路、福壽街,5,0,5,無
桃園市,桃園區,大有路、寶山街,5,0,5,有
高雄市,苓雅區,建國一路、輔仁路,5,0,5,無
高雄市,大寮區,鳳屏一路、成功路,5,0,5,無
桃園市,楊梅區,中山路、武營街,5,0,5,無
新北市,新店區,北新路、寶橋路,5,0,5,無
新北市,新店區,北新路一段、檳榔路,5,0,5,無
桃園市,中壢區,民族路二段、正大街,5,0,5,有
新北市,中和區,景平路、大勇街,5,0,5,無
臺北市,北投區,東華街一段、東陽街,5,0,5,有
臺北市,中山區,民生東路一段、林森北路,5,0,5,無
高雄市,左營區,民族一路、榮佑路,5,0,5,無
臺北市,信義區,基隆路二段、吳興街,5,0,5,有
桃園市,桃園區,南平路、同安街,5,0,5,有
新北市,汐止區,大同路二段184巷、大同路二段,5,0,5,無
臺北市,信義區,松仁路、松平路,5,0,5,有
新北市,汐止區,新台五路一段、青山路,5,0,5,無
臺北市,中山區,建國北路二段、錦州街,5,0,5,有
桃園市,桃園區,中華路、南華街,5,0,5,有
桃園市,蘆竹區,大竹路、大福路,4,1,4,有
臺北市,信義區,忠孝東路四段、基隆路一段,4,1,4,有
臺中市,北區,進化路、國泰街,4,1,4,有
新北市,中和區,員山路、民安街,4,1,4,有
高雄市,大寮區,鳳屏一路、八德路,4,1,4,無
臺北市,中正區,中華路一段、漢口街一段,4,1,4,有
臺北市,文山區,興隆路三段、萬芳路,4,1,4,有
臺北市,萬華區,忠孝西路二段、西寧南路,4,1,4,有
桃園市,桃園區,大同路、民權路,4,0,6,有
臺南市,中西區,中山路、民族路,4,0,6,無
桃園市,龍潭區,中興路、武漢路,4,0,6,無
新北市,淡水區,中正東路二段、八勢一街,4,0,6,無
臺南市,永康區,中華路、中華西街,4,0,6,無
桃園市,中壢區,環北路、六和路,4,0,6,無
桃園市,平鎮區,中庸路、大連街,4,0,6,有
桃園市,平鎮區,中豐路、延平路一段,4,0,6,有
桃園市,平鎮區,中豐路、環南路三段,4,0,6,有
臺中市,西屯區,臺灣大道四段、福康路,4,0,6,有
桃園市,中壢區,中華路二段、育樂路,4,0,6,無
臺中市,北區,五權路、育才北路,4,0,6,有
新北市,土城區,延吉街、永豐路,4,0,6,有
臺南市,安平區,安平路、華平路,4,0,6,有
臺北市,大安區,忠孝東路四段216巷、敦化南路一段233巷,4,0,6,有
臺北市,中正區,和平西路二段、南海路,4,0,6,有
臺北市,大同區,承德路二段、民權西路,4,0,6,有
高雄市,新興區,七賢一路、林森一路,4,0,6,有
臺南市,東區,中華東路二段、中華東路二段295巷,4,0,6,有
臺南市,東區,北門路一段、民族路一段,4,0,6,有
新北市,板橋區,縣民大道一段、南雅南路一段,4,0,6,無
新北市,板橋區,館前西路160巷、館前西路,4,0,6,無
臺南市,北區,公園路、北忠街,4,0,6,有
桃園市,中壢區,延平路、中山路,4,0,6,有
新北市,蘆洲區,集賢路224巷、集賢路,4,0,6,無
臺北市,中山區,北安路、敬業四路,4,0,6,有
臺北市,內湖區,民權東路六段、行愛路,4,0,6,有
臺北市,北投區,中和街、中和街292巷,4,0,6,有
新北市,汐止區,忠孝東路、南昌街,4,0,6,有
臺北市,文山區,木新路三段、興隆路四段,4,0,6,有
臺中市,北屯區,崇德路、青島路,4,0,6,有
臺北市,士林區,德行西路、福華路,4,0,6,有
新北市,永和區,得和路、民族街,4,0,6,無
桃園市,中壢區,中山路、長江路,4,0,6,有
桃園市,中壢區,中山路、新明路,4,0,6,有
新北市,三峽區,復興路、民生街,4,1,3,有
臺北市,文山區,興隆路四段、下崙路,4,1,3,有
高雄市,苓雅區,三多一路、體育場路,4,1,3,有
新北市,新店區,新烏路一段11巷、新烏路一段,4,1,3,無
